time,open,high,low,close,volume
2022-01-21 13:30:00,130.57,130.6,130.05,130.2705,103994
2022-01-21 13:15:00,130.64,130.82,130.28,130.585,92796
2022-01-21 13:00:00,130.54,130.78,130.48,130.64,120207
2022-01-21 12:45:00,130.51,130.71,130.2802,130.53,120504
2022-01-21 12:30:00,130.635,130.66,130.34,130.54,136269
2022-01-21 12:15:00,131.04,131.04,130.5559,130.65,132850
2022-01-21 12:00:00,130.975,131.17,130.7894,131.04,135150
2022-01-21 11:45:00,131.52,131.69,130.87,130.95,232544
2022-01-21 11:30:00,131.26,131.725,131.26,131.55,124144
2022-01-21 11:15:00,131.31,131.59,131.01,131.26,124555
2022-01-21 11:00:00,131.25,131.43,130.83,131.3,176451
2022-01-21 10:45:00,130.3899,131.4,130.1101,131.23,229913
2022-01-21 10:30:00,130.74,130.92,130.2,130.36,253198
2022-01-21 10:15:00,131.11,131.33,130.37,130.74,200617
2022-01-21 10:00:00,130.75,131.16,130.54,131.08,249891
2022-01-21 09:45:00,131.65,131.87,130.5101,130.76,636628
2022-01-21 09:30:00,130.57,132.0,130.56,132.0,7918
2022-01-21 09:00:00,130.54,130.64,130.54,130.56,1174
2022-01-21 08:45:00,131.0,131.0,131.0,131.0,245
2022-01-21 08:30:00,131.08,131.08,130.85,130.85,489
2022-01-21 08:15:00,130.4516,130.94,130.2,130.82,2282
2022-01-21 08:00:00,131.23,131.25,131.23,131.25,803
2022-01-21 07:45:00,130.94,132.11,130.94,131.7,8764
2022-01-21 07:15:00,130.4,130.75,130.4,130.75,494
2022-01-21 06:30:00,130.41,130.41,130.2,130.4,791
2022-01-20 19:15:00,130.79,130.79,130.79,130.79,115
2022-01-20 19:00:00,130.73,130.73,130.73,130.73,105
2022-01-20 18:15:00,130.8,130.8,130.8,130.8,210
2022-01-20 17:45:00,130.3,130.3,130.3,130.3,311
2022-01-20 17:30:00,130.48,130.48,130.2,130.3,819
2022-01-20 17:15:00,130.2,130.2,130.2,130.2,755
2022-01-20 17:00:00,130.4,130.8,130.2,130.4,2638
2022-01-20 16:45:00,130.57,130.6,130.5,130.5,3279
2022-01-20 16:30:00,130.6,130.6,130.6,130.6,186
